ID1,9/26/2016 13:31,9/26/2016 13:33,9/26/2016 13:35,9/26/2016 13:37,9/26/2016 13:39,9/26/2016 13:41,9/26/2016 13:43,9/26/2016 13:44,9/26/2016 13:46,9/26/2016 13:48,9/26/2016 13:50,9/26/2016 13:52,9/26/2016 13:54,9/26/2016 13:56,9/26/2016 13:58,9/26/2016 14:00,9/26/2016 14:02,9/26/2016 14:04,9/26/2016 14:06,9/26/2016 14:08,9/26/2016 14:10,9/26/2016 14:12,9/26/2016 14:14,9/26/2016 14:16,9/26/2016 14:18,9/26/2016 14:20,9/26/2016 14:22,9/26/2016 14:24,9/26/2016 14:26,9/26/2016 14:28,9/26/2016 14:30,9/26/2016 14:32,9/26/2016 14:34,9/26/2016 14:36,9/26/2016 14:38,9/26/2016 14:40,9/26/2016 14:42,9/26/2016 14:44,9/26/2016 14:46,9/26/2016 14:48,9/26/2016 14:50,9/26/2016 14:52,9/26/2016 14:54,9/26/2016 14:56,9/26/2016 14:58,9/26/2016 15:00,9/26/2016 15:02,9/26/2016 15:04,9/26/2016 15:06,9/26/2016 15:08,9/26/2016 15:10,9/26/2016 15:12,9/26/2016 15:14,9/26/2016 15:16,9/26/2016 15:18,9/26/2016 15:20,9/26/2016 15:22,9/26/2016 15:24,9/26/2016 15:26,9/26/2016 15:28,9/26/2016 15:30,9/26/2016 15:32,9/26/2016 15:34,9/26/2016 15:36,9/26/2016 15:38,9/26/2016 15:40,9/26/2016 15:42,9/26/2016 15:44,9/26/2016 15:46,9/26/2016 15:48,9/26/2016 15:50,9/26/2016 15:52,9/26/2016 15:54,9/26/2016 15:56,9/26/2016 15:58,9/26/2016 16:00,9/26/2016 16:02,9/26/2016 16:04,9/26/2016 16:06,9/26/2016 16:08,9/26/2016 16:10,9/26/2016 16:12,9/26/2016 16:14,9/26/2016 16:16,9/26/2016 16:18
ID2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
ID3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID4,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
ID5,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2
ID6,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168
ID7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,11,11,11,11,11,12,12,12,12,12,13
ID8,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7
ID9,93,87,88,91,98,103,97,90,85,94,59,95,94,97,85,80,92,100,96,89,60,88,93,84,100,57,74,65,82,88,90,91,81,90,86,82,80,82,99,91,89,80,85,84,75,86,93,92,85,89,90,75,93,84,84,65,81,78,91,89,76,87,95,82,86,90,88,93,91,84,79,82,86,85,94,82,100,89,81,81,91,87,88,90,91
ID10,0.997983871,1.021237428,1.010742188,1.016698146,1.019212372,1.013728762,1.014618235,1.031032986,1.018382353,1.024559508,1.015956038,1.017680921,1.016248338,1.027907539,1.038373162,1.017578125,1.01116678,1.0296875,1.036173503,1.029889396,1.031575521,1.029607599,1.026545699,1.026320685,1.03515625,1.010827851,1.044657939,1.004807692,1.047780107,1.045587713,1.045355903,1.051038805,1.057339892,1.055338542,1.038335756,1.012290396,1.050292969,1.050161966,1.036734533,1.041595124,1.037570225,1.070800781,1.053079044,1.081659226,1.06796875,1.080804869,1.058887769,1.041737432,1.051240809,1.072024228,1.067708333,1.058854167,1.012474798,1.042596726,1.050269717,1.049879808,1.052999614,1.059445112,1.053399725,1.058857093,1.080900493,1.032911279,1.059416118,1.056354802,1.062409157,1.052734375,1.046031605,1.052167339,1.083447802,1.060500372,1.075207674,1.07898247,1.053097747,1.066636029,1.069439827,1.064929497,1.042773438,1.063904494,1.076871142,1.104118441,1.087955014,1.062095905,1.069113991,1.079210069,1.022493132
ID11,0.046171309,0.062043268,0.070467606,0.079435762,0.063232343,0.054801898,0.055699112,0.06151948,0.068469096,0.060601041,0.043596561,0.071873921,0.05564607,0.039800123,0.067580803,0.06219951,0.048025535,0.050664262,0.041005324,0.049424978,0.065373131,0.06521288,0.063449603,0.070153139,0.069290144,0.073105406,0.046201647,0.052137689,0.045352471,0.049988358,0.045474056,0.054072692,0.040706738,0.066986554,0.062762293,0.058215154,0.04854049,0.0524706,0.049573925,0.053294427,0.0586544,0.069889216,0.066042239,0.065511892,0.068125959,0.065816372,0.05347686,0.053412235,0.042425937,0.047517769,0.055165075,0.037348002,0.095955396,0.062642847,0.05707198,0.055246037,0.091202653,0.046282132,0.050580717,0.068389294,0.050585825,0.065892959,0.063109702,0.043316018,0.078542032,0.062593882,0.072770072,0.043884016,0.059122374,0.050712397,0.052323671,0.064417748,0.062787648,0.045913189,0.044342998,0.060314685,0.044059261,0.067149519,0.067216527,0.065297384,0.068683785,0.076937363,0.071532553,0.065309032,0.073965533
